id,label
632,no_relation
487,no_relation
915,clo:exists_in
884,clo:contains
509,clo:composed_of
320,met:feature_of
65,no_relation
92,no_relation
854,clo:composed_of
524,clo:contains
160,clo:composed_of
817,no_relation
151,clo:revolves
619,no_relation
186,clo:composed_of
639,clo:exists_in
788,clo:contains
678,no_relation
366,clo:composed_of
711,no_relation
992,clo:exists_in
206,no_relation
696,clo:composed_of
163,met:feature_of
800,no_relation
867,no_relation
102,clo:contains
570,no_relation
704,clo:turn_into
688,clo:turn_into
813,no_relation
346,clo:revolves
756,met:feature_of
256,no_relation
919,no_relation
650,no_relation
640,no_relation
762,clo:turn_into
668,no_relation
764,met:feature_of
399,clo:contains
836,no_relation
651,no_relation
594,per:origin_of
223,no_relation
302,dat:date_of_discovery
699,no_relation
0,clo:exists_in
4,clo:revolves
932,clo:turn_into
159,clo:alias_of
577,clo:contains
461,no_relation
779,clo:alias_of
532,no_relation
955,met:feature_of
1000,clo:composed_of
732,no_relation
246,clo:revolves
300,no_relation
252,no_relation
296,no_relation
680,clo:contains
825,met:feature_of
851,clo:exists_in
590,no_relation
527,clo:revolves
630,clo:revolves
544,dat:date_of_discovery
689,clo:revolves
98,no_relation
5,clo:composed_of
251,clo:exists_in
74,no_relation
488,met:feature_of
977,clo:composed_of
978,clo:contains
365,no_relation
108,per:propose
526,clo:contains
135,met:feature_of
661,clo:composed_of
731,no_relation
158,per:propose
425,no_relation
608,clo:composed_of
837,per:propose
35,clo:composed_of
890,no_relation
416,clo:exists_in
815,clo:composed_of
719,clo:exists_in
953,clo:contains
124,no_relation
784,no_relation
860,no_relation
987,clo:composed_of
446,no_relation
595,per:propose
283,clo:composed_of